Image,RMSE,SSIM,r,SNR,Corners
Noise_1,0.000000,1.000000,1.000000,100.000000,68.000000
Noise_10,0.482893,0.095899,0.428375,6.322977,454.000000
Noise_2,0.079321,0.619171,0.994310,22.012212,92.000000
Noise_3,0.157786,0.384345,0.972505,16.038613,322.000000
Noise_4,0.231450,0.258644,0.930206,12.710866,393.000000
Noise_5,0.297740,0.187084,0.866749,10.523246,403.000000
Noise_6,0.353237,0.155480,0.786330,9.038688,450.000000
Noise_7,0.394643,0.130289,0.698535,8.075902,454.000000
Noise_8,0.435645,0.114037,0.594801,7.217352,445.000000
Noise_9,0.465602,0.104645,0.495606,6.639708,447.000000
Média,0.289832,0.304960,0.776742,19.857956,352.800000
Desvio Padrão,0.167882,0.293880,0.212619,28.584707,149.635706
